,0,0.1,0.1.1,0.1.1.1,0
3GMPtex_1,0.023974935,0.0011702664,0.071873575,0.00013776506,0.000556293
3H3MGLTc,0.9995084,0.99976975,0.9984127,0.99934036,0.99840325
3H3MGLTte,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
3HAACOAT100,0.85481226,0.73981094,0.9077048,0.95427936,0.8545873
3HAACOAT120,0.86944467,0.7361271,0.91560537,0.9531285,0.8440091
3HAACOAT121,0.8651777,0.7430827,0.9168457,0.95111036,0.85450196
3HAACOAT140,0.9529073,0.8969875,0.9703333,0.9824416,0.94441396
3HAACOAT141,0.86711174,0.72160167,0.916363,0.9506637,0.85341424
3HAACOAT60,0.8525907,0.7522669,0.9199301,0.95129967,0.86499864
3HAACOAT80,0.85889196,0.7389962,0.90799123,0.95349675,0.85420364
3HACPH,0.99880207,0.9986053,0.994447,0.99907947,0.99401665
3HAD160_2,0.9988933,0.9987709,0.9949221,0.99915373,0.9935087
3HAD200,0.99816823,0.9975285,0.9889796,0.99829656,0.99066556
3HAD200_c,0.99816823,0.9975285,0.9889796,0.99829656,0.99066556
3HAD220_c,0.99816823,0.9975285,0.9889796,0.99829656,0.99066556
3HAD240_c,0.99816823,0.9975285,0.9889796,0.99829656,0.99066556
3HAD40_2,0.99880207,0.9986053,0.994447,0.99907947,0.99401665
3HAD80_2,0.99868995,0.99864763,0.9941309,0.9990652,0.99362284
3HADPACte,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
3HAO,0.9943289,0.9971008,0.991339,0.9881444,0.99764377
3HAOR,0.9972307,0.9991211,0.99900657,0.99916697,0.9970783
3HBCOAHL,0.9995084,0.99976975,0.9984127,0.99934036,0.99840325
3HBZCT,0.99645966,0.999141,0.9919193,0.9968207,0.98627603
3HCO3_NAt,0.9979425,0.9980768,0.99851304,0.9962733,0.99749506
3HIBUPGLUC_Sthv,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
3HIBUP_Rthv,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
3HIBUP_Sthv,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
3HIVActe,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
3HKYNAKGAT,0.961448,0.97331256,0.99690574,0.98911077,0.951949
3HLVSTAChep,0.9993445,0.9995505,0.99668497,0.9990854,0.99895525
3HLVSTACtbc,0.9996165,0.9997837,0.9987551,0.99970275,0.99979216
3HLYTCL,0.9988846,0.9991304,0.99594986,0.9971763,0.9934016
3HMPtd,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
3HOPCD,0.99682295,0.9992322,0.99837804,0.9984841,0.9986304
3HOXTPP,0.9982191,0.9994873,0.9993736,0.9994266,0.9983487
3HPADHi,0.99943334,0.99975294,0.9994634,0.99972576,0.9997352
3HPAtpp,0.98907393,0.9692328,0.8797954,0.9993436,0.99283206
3HPCOAHYD,0.99961084,0.9998037,0.9988049,0.9994962,0.9987276
3HPPD,0.99810815,0.9995852,0.9989348,0.9991474,0.9991542
3HPPNOHGLUCte,0.5890878,0.5872871,0.4582938,0.5863776,0.8006684
3HPPPNOHGLUCc,0.5686503,0.45724845,0.19454128,0.09355943,0.19770864
